rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
133,map,ulsan-3,Ulsan (30km×30km),kimth9,kimth9,https://github.com/kimth9,1,1,79,79,78,78,snapshot_2026_07_06.json,snapshot_2026_07_05.json
134,map,yukina-tw-chiayi,嘉義 (Chiayi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,72,72,71,71,snapshot_2026_07_06.json,snapshot_2026_07_05.json
135,map,dayton-oh,Dayton,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,71,71,70,70,snapshot_2026_07_06.json,snapshot_2026_07_05.json
136,map,pulau-pinang,Pulau Pinang,nzh0172,naz,https://github.com/nzh0172,1,1,63,63,62,62,snapshot_2026_07_06.json,snapshot_2026_07_05.json
137,map,yukina-kumamoto,熊本 (Kumamoto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,1,38,38,37,37,snapshot_2026_07_06.json,snapshot_2026_07_05.json
138,map,kristiansand-no,Kristiansand,rslurry,slurry,https://github.com/rslurry,1,1,32,32,31,31,snapshot_2026_07_06.json,snapshot_2026_07_05.json
139,map,johor-bahru,Johor Bahru,nzh0172,naz,https://github.com/nzh0172,1,1,31,31,30,30,snapshot_2026_07_06.json,snapshot_2026_07_05.json
140,map,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,0,0,662,662,662,662,snapshot_2026_07_06.json,snapshot_2026_07_05.json
141,map,incheon-4,Incheon (40km×40km),kimth9,kimth9,https://github.com/kimth9,0,0,609,609,609,609,snapshot_2026_07_06.json,snapshot_2026_07_05.json
142,map,guadalajara,Guadalajara,rslurry,slurry,https://github.com/rslurry,0,0,509,509,509,509,snapshot_2026_07_06.json,snapshot_2026_07_05.json
143,map,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,0,0,458,458,458,458,snapshot_2026_07_06.json,snapshot_2026_07_05.json
144,map,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,0,0,424,424,424,424,snapshot_2026_07_06.json,snapshot_2026_07_05.json
145,map,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,0,0,394,394,394,394,snapshot_2026_07_06.json,snapshot_2026_07_05.json
146,map,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,0,0,318,318,318,318,snapshot_2026_07_06.json,snapshot_2026_07_05.json
147,mod,kr-ktp,Korean Transit Pack,kimth9,kimth9,https://github.com/kimth9,0,0,314,314,314,314,snapshot_2026_07_06.json,snapshot_2026_07_05.json
148,map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,naz,https://github.com/nzh0172,0,0,313,313,313,313,snapshot_2026_07_06.json,snapshot_2026_07_05.json
149,map,mfn-madisonwi,Madison,crumpetime,muffintime,https://github.com/crumpetime,0,0,305,305,305,305,snapshot_2026_07_06.json,snapshot_2026_07_05.json
150,map,orlando,Orlando,rslurry,slurry,https://github.com/rslurry,0,0,267,267,267,267,snapshot_2026_07_06.json,snapshot_2026_07_05.json
151,map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,0,0,266,266,266,266,snapshot_2026_07_06.json,snapshot_2026_07_05.json
152,map,south-florida,South Florida,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,0,0,262,262,262,262,snapshot_2026_07_06.json,snapshot_2026_07_05.json
153,map,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,0,0,244,244,244,244,snapshot_2026_07_06.json,snapshot_2026_07_05.json
154,map,yukina-tw-kaohsiung,高雄 (Kaohsiung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,0,0,234,234,234,234,snapshot_2026_07_06.json,snapshot_2026_07_05.json
155,map,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,0,0,227,227,227,227,snapshot_2026_07_06.json,snapshot_2026_07_05.json
156,map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,0,0,210,210,210,210,snapshot_2026_07_06.json,snapshot_2026_07_05.json
