rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
180,charleston-sc,"Charleston, SC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,CHS,US,323867,19301,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,knoxville,Knoxville,rslurry,slurry,https://github.com/rslurry,KNOX,US,323445,45836,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,yukina-yamagata,山形 (Yamagata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,GAJ,JP,323354,11161,4254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,yukina-pl-opole,Opole,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,OPL,PL,314740,15678,11652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,yukina-kochi,高知 (Kōchi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,KCZ,JP,314606,9927,3511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,yukina-cz-zlin,Zlín,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ZLN,CZ,304619,20652,9487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,dayton-oh,Dayton,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,DAY,US,302604,25947,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,yukina-pl-bialystok,Białystok,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,BTK,PL,299796,12953,8664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,yukina-pl-czestochowa,Częstochowa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,CZE,PL,296810,15411,11646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,trondheim-no,Trondheim,rslurry,slurry,https://github.com/rslurry,GTRD,NO,294397,16645,9277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
